acctrefno,loan_group_no,loan_class1_no,application_id,customer_application_id,person_id,submit_dt,complete_dt,open_month,withdraw_dt,first_payment_dt,withdraw_reason,application_status,account_status,account_payment_method,mx_discount,balance_amt,loan_amt,principal_balance,min_amt,net_paid_amt,net_paid_amt_effective,scu_amt,net_funded_amt,payoff_type,fpr,fpd,pd,cpo,epo,dpd,dpd_bin,past_due_amt,past_due_amt_snapapp,past_due_amt_effective
408286,4,1,22020301LZOK,2172143436,2172143430,2022-02-03,2022-02-03,2022-02-01,NA,2022-04-14,"NA",COMPLETE,ACTIVE,MANUAL,595.88,1950.9493,1910,1702.5,579.9,0,0,1702.5,1106.62,"NA",1,1,1,0,0,144,90+,579.9,887.48,579.9
469679,4,1,22070605CRAR,2428440328,2428440322,2022-07-06,2022-07-06,2022-07-01,NA,2022-09-16,"NA",COMPLETE,ACTIVE,MANUAL,1750,5039.441,5000,5000,0,0,0,5000,3250,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
470224,4,1,22070705R7IN,2429681711,2429681704,2022-07-07,2022-07-07,2022-07-01,NA,2022-09-16,"NA",COMPLETE,ACTIVE,MANUAL,213.5,614.2103,610,610,0,0,0,610,396.5,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
484385,4,1,22081100QXFL,2489225734,2489225728,2022-08-11,2022-08-11,2022-08-01,NA,2022-11-03,"NA",COMPLETE,ACTIVE,MANUAL,952.35,2721,2721,2721,0,0,0,2721,1759.13,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
432062,4,1,22033104YLTX,2267073011,2267073003,2022-03-31,2022-03-31,2022-03-01,NA,2022-06-17,"NA",COMPLETE,ACTIVE,MANUAL,757.58,1868.8284,2170,1861.48,434.16,434.16,506.52,2164.5,1406.92,"NA",0,0,0,0,0,0,CURRENT,0,717.99,0
420995,4,1,22030806Z2AR,2229878097,2229878091,2022-03-08,2022-03-08,2022-03-01,NA,2022-05-26,"NA",COMPLETE,ACTIVE,ACH,144.9,451.93878,414,409.53,110.8,13.85,13.85,414,269.1,"NA",1,0,1,0,0,95,90+,96.95,0,96.95
446820,4,1,22051003R3AL,2330724980,2330724972,2022-05-10,2022-05-10,2022-05-01,NA,2022-08-01,"NA",COMPLETE,ACTIVE,MANUAL,334.6,1017.2717,1174,956,137.92,0,0,956,621.4,"NA",1,1,1,0,0,42,31-60,137.92,196.3,137.92
469236,4,1,22070506DDFL,2426551874,2426551868,2022-07-05,2022-07-05,2022-07-01,NA,2022-09-15,"NA",COMPLETE,ACTIVE,MANUAL,384.72,1108.9546,1099.2,1099.2,0,0,0,1099.2,710.63,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
451726,4,1,22052304W4MI,2352573056,2352573050,2022-05-23,2022-05-23,2022-05-01,NA,2022-08-27,"NA",COMPLETE,ACTIVE,MANUAL,1120,3129.7117,3200,3108.25,233.73,233.73,233.73,3200,2080,"NA",0,0,0,0,0,0,CURRENT,0,0,0
460064,4,1,22061300P8IN,2388376879,2388376873,2022-06-13,2022-06-13,2022-06-01,NA,2022-09-03,"NA",COMPLETE,ACTIVE,MANUAL,663.5,1816.1462,3447,1798.41,136.54,136.54,136.54,1895.7,1232.2,"NA",0,0,0,0,0,0,CURRENT,0,194.63,0
448483,4,1,220514029ZFL,2337388408,2337388402,2022-05-14,2022-05-14,2022-05-01,NA,2022-07-21,"NA",COMPLETE,ACTIVE,MANUAL,563.15,1487.9971,4440,1470.59,213.08,213.08,213.08,1609,1030.31,"NA",0,0,0,0,0,0,CURRENT,0,305,0
432139,4,1,22033101MVMI,2266727103,2266727097,2022-03-31,2022-03-31,2022-03-01,NA,2022-06-25,"NA",COMPLETE,ACTIVE,MANUAL,737.8,2326.2473,2110,2108,457.53,0,0,2108,1370.2,"NA",1,1,1,0,0,79,61-90,457.53,649.29,457.53
460592,4,1,22061400TPWI,2389607835,1287558177,2022-06-14,2022-06-14,2022-06-01,NA,2022-08-26,"NA",COMPLETE,ACTIVE,MANUAL,297.5,818.1939,850,814.97,28.28,28.28,56.56,850,552.5,"NA",0,0,0,0,0,0,CURRENT,0,0,0
426881,4,1,22032300FSTN,2252657815,2252657809,2022-03-23,2022-03-23,2022-03-01,NA,2022-06-01,"NA",COMPLETE,ACTIVE,MANUAL,424.27,1014.4479,2870,1008.48,321.68,321.68,321.68,1212.2,787.93,"NA",0,0,0,0,0,0,CURRENT,0,459.52,0
444061,4,1,220503024ZWI,2318918749,2318918741,2022-05-03,2022-05-03,2022-05-01,NA,2022-07-15,"NA",COMPLETE,ACTIVE,CARD,122.5,374.8479,350,350,46.8,0,0,350,227.5,"NA",1,1,1,0,0,59,31-60,46.8,0,52.65
467539,4,1,22063000Q7FL,2417449467,2417449461,2022-06-30,2022-06-30,2022-06-01,NA,2022-09-16,"NA",COMPLETE,ACTIVE,MANUAL,1376.2,3986.2788,4910,3932,0,0,0,3932,2538.61,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
455094,4,1,22051806XTMI,2344396875,2344396864,2022-05-18,2022-06-01,2022-06-01,NA,2022-08-12,"NA",COMPLETE,ACTIVE,MANUAL,87.5,235.3857,250,234.46,16.62,16.62,24.93,250,162.5,"NA",0,0,0,0,0,0,CURRENT,0,0,0
436448,4,1,220413057LSC,2287565018,2287565012,2022-04-13,2022-04-13,2022-04-01,NA,2022-06-24,"NA",COMPLETE,ACTIVE,CARD,381.15,964.6133,1089,960.82,199.87,199.87,218.04,1089,707.85,"NA",0,0,0,0,0,0,CURRENT,0,0,0
490782,4,1,220826039VMS,2510426761,2510426754,2022-08-26,2022-08-26,2022-08-01,NA,2022-11-02,"NA",COMPLETE,ACTIVE,MANUAL,369.95,1057,1057,1057,0,0,0,1057,687.05,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
480954,4,1,2208030231KY,2476531129,2476531123,2022-08-03,2022-08-03,2022-08-01,NA,2022-10-14,"NA",COMPLETE,ACTIVE,MANUAL,735,2100,2100,2100,0,0,0,2100,1365,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
467526,4,1,22063000F0SC,2416781321,2416781315,2022-06-30,2022-06-30,2022-06-01,NA,2022-09-09,"NA",COMPLETE,ACTIVE,MANUAL,122.5,354.83154,350,350,0,0,0,350,227.5,"NA",NA,NA,NA,0,0,3,1-30,NA,0,5.84
418367,4,1,22030202H3TX,2219485548,2219485542,2022-03-02,2022-03-02,2022-03-01,NA,2022-05-13,"NA",COMPLETE,ACTIVE,MANUAL,143.78,327.8581,1350,324.65,116.62,132.48,132.48,410.8,267.02,"NA",0,0,0,0,0,0,CURRENT,0,175.32,0
444537,4,1,22050403BKMN,2320974538,2320974532,2022-05-04,2022-05-04,2022-05-01,NA,2022-07-22,"NA",COMPLETE,ACTIVE,CARD,122.5,338.97754,350,331.78,46.84,35.13,35.13,350,227.5,"NA",0,0,1,0,0,10,1-30,11.71,0,11.71
434047,4,1,22040706KWMI,2278176604,2278176595,2022-04-07,2022-04-07,2022-04-01,NA,2022-06-24,"NA",COMPLETE,ACTIVE,CARD,318.5,903.31116,910,858.44,182.52,91.26,91.26,910,591.5,"NA",0,0,1,0,0,38,31-60,91.26,0,91.26
480902,4,1,220803013XOK,2476443226,2476443220,2022-08-03,2022-08-03,2022-08-01,NA,2022-10-21,"NA",COMPLETE,ACTIVE,MANUAL,1571.15,4489,4489,4489,0,0,0,4489,2917.85,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
457469,4,1,22060701GZMI,2378087892,2378087886,2022-06-07,2022-06-07,2022-06-01,NA,2022-08-18,"NA",COMPLETE,ACTIVE,MANUAL,59.36,175.78752,850,169.6,11.28,0,0,169.6,110.24,"NA",1,1,1,0,0,25,1-30,11.28,16.08,11.28
446328,4,1,22050904HDTX,2328790343,2328790334,2022-05-09,2022-05-09,2022-05-01,NA,2022-07-15,"NA",COMPLETE,ACTIVE,CARD,122.5,348.74255,350,333.61,46.32,23.16,23.16,350,227.5,"NA",0,0,1,0,0,31,31-60,23.16,0,34.74
463366,4,1,22062006ZJFL,2399796448,2399796442,2022-06-20,2022-06-20,2022-06-01,NA,2022-09-02,"NA",COMPLETE,ACTIVE,MANUAL,310.24,877.65936,936.4,868.24,29.52,29.52,29.52,886.4,572.88,"NA",0,0,0,0,0,0,CURRENT,0,42.01,0
494634,4,1,22090600W0LA,2527694002,2307344930,2022-09-06,2022-09-06,2022-09-01,NA,2022-12-03,"NA",COMPLETE,ACTIVE,MANUAL,500.5,1430,1430,1430,0,0,0,1430,929.5,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
435629,4,1,22041107NHTN,2285480347,2285480341,2022-04-11,2022-04-11,2022-04-01,NA,2022-06-23,"NA",COMPLETE,ACTIVE,MANUAL,88.76,277.10532,350,253.6,50.64,0,0,253.6,164.84,"NA",1,1,1,0,0,81,61-90,50.64,72.12,50.64
472919,4,1,220714020BMO,2441958784,572640439,2022-07-14,2022-07-14,2022-07-01,NA,2022-09-21,"NA",COMPLETE,ACTIVE,MANUAL,434,1240,1240,1240,0,0,0,1240,806,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
460879,4,1,22061406RSTX,2390169201,2390169195,2022-06-14,2022-06-14,2022-06-01,NA,2022-09-11,"NA",COMPLETE,ACTIVE,MANUAL,756,2223.8945,3255,2160,0,0,0,2160,1404,"NA",NA,NA,NA,0,0,1,1-30,NA,221.76,156.63
427111,4,1,220323053FTX,2253754407,1264908625,2022-03-23,2022-03-23,2022-03-01,NA,2022-06-03,"NA",COMPLETE,ACTIVE,CARD,199.5,633.51,570,570,132.58,0,0,570,370.5,"NA",1,1,1,0,0,101,90+,132.58,0,151.52
435890,4,1,22041203VJSC,2286311730,2286311724,2022-04-12,2022-04-12,2022-04-01,NA,2022-06-23,"NA",COMPLETE,ACTIVE,CARD,213.5,540.8288,610,538.17,122.16,122.16,122.16,610,396.5,"NA",0,0,0,0,0,0,CURRENT,0,0,0
497350,4,1,220912082KAL,2538388965,2538388959,2022-09-12,2022-09-12,2022-09-01,NA,2022-11-24,"NA",COMPLETE,ACTIVE,MANUAL,611.8,1748,1748,1748,0,0,0,1748,0,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
484379,4,1,22081100LVNY,2489216075,2417813344,2022-08-11,2022-08-11,2022-08-01,NA,2022-10-21,"NA",COMPLETE,ACTIVE,MANUAL,122.5,350,350,350,0,0,0,350,227.5,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
460847,4,1,220614066HNY,2390120624,2390120618,2022-06-14,2022-06-14,2022-06-01,NA,2022-08-26,"NA",COMPLETE,ACTIVE,MANUAL,242.69,682.4186,850,680.33,20.06,20.06,20.06,693.4,450.71,"NA",0,0,0,0,0,3,1-30,0,49.29,10.03
446753,4,1,22051003LTMI,2330712426,2330712417,2022-05-10,2022-05-10,2022-05-01,NA,2022-07-28,"NA",COMPLETE,ACTIVE,MANUAL,61.25,186.21606,1220,175,25.16,0,0,175,113.75,"NA",1,1,1,0,0,46,31-60,25.16,35.94,25.16
426751,4,1,22032206ZNTX,2252063044,2252063038,2022-03-22,2022-03-22,2022-03-01,NA,2022-06-03,"NA",COMPLETE,ACTIVE,MANUAL,337.19,1022.06323,2280,949.23,225.26,48.27,48.27,963.4,626.21,"NA",0,0,1,0,0,80,61-90,176.99,342.45,193.08
436513,4,1,22041305XLMI,2287630872,2287630866,2022-04-13,2022-04-13,2022-04-01,NA,2022-06-23,"NA",COMPLETE,ACTIVE,CARD,553,1399.3306,1580,1382.96,314.76,314.76,314.76,1580,1027,"NA",0,0,0,0,0,0,CURRENT,0,0,0
446382,4,1,22050905LJIN,2328906061,2328906055,2022-05-09,2022-05-09,2022-05-01,NA,2022-07-20,"NA",COMPLETE,ACTIVE,CARD,227.5,596.68933,650,582.89,92.82,92.82,92.82,650,422.5,"NA",0,0,0,0,0,0,CURRENT,0,0,0
434368,4,1,22040802GBVA,2279761035,2279761029,2022-04-08,2022-04-08,2022-04-01,NA,2022-06-15,"NA",COMPLETE,ACTIVE,MANUAL,85.4,213.05435,250,211.8,52.78,52.78,52.78,244,158.6,"NA",0,0,0,0,0,0,CURRENT,0,75.27,0
490698,4,1,22082601MZFL,2510285165,310520927,2022-08-26,2022-08-26,2022-08-01,NA,2022-11-03,"NA",COMPLETE,ACTIVE,MANUAL,1453.2,4152,4152,4152,0,0,0,4152,2684.27,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
486420,4,1,220816033LAR,2495329493,2495329485,2022-08-16,2022-08-16,2022-08-01,NA,2022-11-03,"NA",COMPLETE,ACTIVE,MANUAL,122.5,350,350,350,0,0,0,350,227.5,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
449268,4,1,22051700PRLA,2342471910,2342471872,2022-05-17,2022-05-17,2022-05-01,NA,2022-08-03,"NA",COMPLETE,ACTIVE,MANUAL,46.97,141.87485,1047.8,134.2,19.26,0,0,134.2,87.23,"NA",1,1,1,0,0,40,31-60,19.26,27.56,19.26
423693,4,1,2203150585FL,2240246544,2240246537,2022-03-15,2022-03-15,2022-03-01,NA,2022-05-25,"NA",COMPLETE,ACTIVE,MANUAL,401.8,967.77856,1651,949.98,306.38,306.38,306.38,1148,740.42,"NA",0,0,0,0,0,0,CURRENT,0,435.2,0
444440,4,1,22050400QFAR,2320708403,1299568099,2022-05-04,2022-05-04,2022-05-01,NA,2022-07-15,"NA",COMPLETE,ACTIVE,CARD,122.5,374.50278,350,350,46.52,0,0,350,227.5,"NA",1,1,1,0,0,59,31-60,46.52,0,58.15
419108,4,1,220303085QOK,2222146615,2222146609,2022-03-03,2022-03-03,2022-03-01,NA,2022-05-12,"NA",COMPLETE,ACTIVE,CARD,654.5,2115.2349,1870,1870,560.7,0,0,1870,1215.5,"NA",1,1,1,0,0,123,90+,560.7,0,560.7
489241,4,1,22082302MSSC,2505235676,2505235670,2022-08-23,2022-08-23,2022-08-01,NA,2022-11-04,"NA",COMPLETE,ACTIVE,MANUAL,842.1,2406,2406,2406,0,0,0,2406,1563.9,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
414957,4,1,22022107KVTX,2203281205,2203281199,2022-02-21,2022-02-21,2022-02-01,NA,2022-05-22,"NA",COMPLETE,ACTIVE,MANUAL,337.93,1101.6373,1000,965.5,280.6,0,0,965.5,627.57,"NA",1,1,1,0,0,113,90+,280.6,495.65,280.6
495263,4,1,220907054RTN,2530169606,2530169599,2022-09-07,2022-09-07,2022-09-01,NA,2022-11-17,"NA",COMPLETE,ACTIVE,MANUAL,122.5,350,350,350,0,0,0,350,227.5,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
458025,4,1,22060801NMTX,2380051126,2380051120,2022-06-08,2022-06-08,2022-06-01,NA,2022-09-01,"NA",COMPLETE,ACTIVE,MANUAL,1750,4813.4214,5000,4757.13,361.19,361.19,361.19,5000,3250,"NA",0,0,0,0,0,0,CURRENT,0,0,0
432478,4,1,220404070BFL,2273052921,2273052915,2022-04-04,2022-04-04,2022-04-01,NA,2022-06-10,"NA",COMPLETE,ACTIVE,MANUAL,697.9,2159.47,3060,1994,430.43,33.11,33.11,1994,1285.39,"NA",0,0,1,0,0,87,61-90,397.32,661.5,430.43
458622,4,1,22060903BCFL,2381329105,2381329098,2022-06-09,2022-06-09,2022-06-01,NA,2022-08-26,"NA",COMPLETE,ACTIVE,MANUAL,501.41,1385.7244,3190,1380.28,47.89,47.89,95.78,1432.6,920.02,"NA",0,0,0,0,0,0,CURRENT,0,135.78,0
495179,4,1,22090702MXLA,2529983413,2529983407,2022-09-07,2022-09-07,2022-09-01,NA,2022-12-01,"NA",COMPLETE,ACTIVE,MANUAL,1141,3260,3260,3260,0,0,0,3260,2119,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
491692,4,1,22082902LSIN,2514989629,2514989570,2022-08-29,2022-08-29,2022-08-01,NA,2022-11-17,"NA",COMPLETE,ACTIVE,MANUAL,611.45,1747,1747,1747,0,0,0,1747,1135.55,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
486855,4,1,22081701C6MS,2496574456,2496574450,2022-08-17,2022-08-17,2022-08-01,NA,2022-11-03,"NA",COMPLETE,ACTIVE,MANUAL,122.5,350,350,350,0,0,0,350,227.5,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
497208,4,1,22091205RWOK,2538176637,2538176631,2022-09-12,2022-09-12,2022-09-01,NA,2022-12-01,"NA",COMPLETE,ACTIVE,MANUAL,777,2220,2220,2220,0,0,0,2220,0,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
421936,4,1,22031006T3FL,2233837956,2233837891,2022-03-10,2022-03-10,2022-03-01,NA,2022-05-19,"NA",COMPLETE,ACTIVE,MANUAL,158.38,445.03296,810,414.38,135.09,60.04,60.04,452.5,291.28,"NA",0,0,1,0,0,60,31-60,75.05,193.05,75.05
426937,4,1,22032301CTMI,2253391125,2253391119,2022-03-23,2022-03-23,2022-03-01,NA,2022-06-22,"NA",COMPLETE,ACTIVE,MANUAL,942.2,2991.9456,3826,2692,587.07,0,0,2692,1749.8,"NA",1,1,1,0,0,82,61-90,587.07,1105.52,587.07
461407,4,1,22061507BKAR,2391375339,2391375333,2022-06-15,2022-06-15,2022-06-01,NA,2022-08-26,"NA",COMPLETE,ACTIVE,MANUAL,297.5,874.3056,850,850,28.38,0,0,850,552.5,"NA",1,1,1,0,0,17,1-30,28.38,0,42.57
438709,4,1,22041904S3SC,2297670965,2297670956,2022-04-19,2022-04-19,2022-04-01,NA,2022-07-08,"NA",COMPLETE,ACTIVE,MANUAL,970.48,2533.821,3070,2506.63,464.35,464.35,464.35,2772.8,1802.32,"NA",0,0,0,0,0,0,CURRENT,0,656.95,0
467160,4,1,22062903VHAL,2415782252,2287260398,2022-06-29,2022-06-29,2022-06-01,NA,2022-10-03,"NA",COMPLETE,ACTIVE,MANUAL,346.92,1005.8602,991.2,991.2,0,0,0,991.2,644.28,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
469757,4,1,22070606PQTX,2428552670,2428552602,2022-07-06,2022-07-06,2022-07-01,NA,2022-09-12,"NA",COMPLETE,ACTIVE,MANUAL,453.94,1264.2373,1300,1262.99,0,0,42.94,1296.98,843.04,"NA",NA,NA,NA,0,0,0,CURRENT,NA,61.46,0
487107,4,1,220817071QFL,2497066401,2497066393,2022-08-17,2022-08-17,2022-08-01,NA,2022-10-27,"NA",COMPLETE,ACTIVE,MANUAL,122.5,350,350,350,0,0,0,350,226.27,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
484409,4,1,22081101FGMO,2489323713,2489323707,2022-08-11,2022-08-11,2022-08-01,NA,2022-10-28,"NA",COMPLETE,ACTIVE,MANUAL,346.5,990,990,990,0,0,0,990,643.5,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
439507,4,1,22042100XWMI,2300329227,2300329145,2022-04-21,2022-04-21,2022-04-01,NA,2022-07-01,"NA",COMPLETE,ACTIVE,MANUAL,793.1,2226.6365,2266,2217.88,377.8,188.9,226.68,2266,1472.9,"NA",0,0,1,0,0,31,31-60,188.9,0,188.9
472746,4,1,22071307QVWI,2440539228,2440539218,2022-07-13,2022-07-13,2022-07-01,NA,2022-09-23,"NA",COMPLETE,ACTIVE,MANUAL,147.35,421.41513,421,421,0,0,0,421,273.65,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
444684,4,1,22050406LJMS,2321304160,2321304153,2022-05-04,2022-05-04,2022-05-01,NA,2022-08-03,"NA",COMPLETE,ACTIVE,MANUAL,57.05,174.4113,250,163,23.7,0,0,163,105.95,"NA",1,1,1,0,0,40,31-60,23.7,33.48,23.7
434950,4,1,22040904XVTX,2281896229,2281896223,2022-04-09,2022-04-09,2022-04-01,NA,2022-06-17,"NA",COMPLETE,ACTIVE,ACH,122.5,383.13052,350,350,69.6,0,0,350,227.5,"NA",1,1,1,0,0,87,61-90,69.6,0,81.2
492196,4,1,22083002Y7FL,2516391130,2516391124,2022-08-30,2022-08-30,2022-08-01,NA,2022-11-11,"NA",COMPLETE,ACTIVE,MANUAL,122.5,350,350,350,0,0,0,350,226.27,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
433377,4,1,22040604J4OK,2275916205,2275916165,2022-04-06,2022-04-06,2022-04-01,NA,2022-06-17,"NA",COMPLETE,ACTIVE,MANUAL,427.7,1151.7013,1450,1116.47,244.68,183.51,183.51,1222,794.3,"NA",0,0,1,0,0,24,1-30,61.17,376.48,81.56
432023,4,1,22040400TSFL,2272399321,770289882,2022-04-04,2022-04-04,2022-04-01,NA,2022-06-16,"NA",COMPLETE,ACTIVE,MANUAL,120.68,365.97455,370,336.44,74.58,12.43,12.43,344.8,222.82,"NA",0,0,1,0,0,73,61-90,62.15,106.2,62.15
475783,4,1,22072103M4FL,2454192194,2454192177,2022-07-21,2022-07-21,2022-07-01,NA,2022-10-01,"NA",COMPLETE,ACTIVE,MANUAL,1082.48,3092.8,3092.8,3092.8,0,0,0,3092.8,1999.5,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
472001,4,1,22071202SWSC,2438958144,2438958138,2022-07-12,2022-07-12,2022-07-01,NA,2022-09-29,"NA",COMPLETE,ACTIVE,MANUAL,287.42,822.81946,973.4,821.2,0,0,0,821.2,533.78,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
454697,4,1,22053107C2WI,2366814988,2366814982,2022-05-31,2022-05-31,2022-05-01,NA,2022-08-31,"NA",COMPLETE,ACTIVE,MANUAL,115.85,333.18436,350,328.96,12.15,12.15,12.15,331,215.15,"NA",0,0,0,0,0,0,CURRENT,0,17,0
446634,4,1,2205100190KY,2330499592,2330499586,2022-05-10,2022-05-10,2022-05-01,NA,2022-07-22,"NA",COMPLETE,ACTIVE,CARD,97.42,258.4276,278.35,255.65,37.04,37.04,37.04,278.35,180.93,"NA",0,0,0,0,0,0,CURRENT,0,0,0
492138,4,1,22083001B6TN,2516265188,2516265170,2022-08-30,2022-08-30,2022-08-01,NA,2022-11-11,"NA",COMPLETE,ACTIVE,MANUAL,122.5,350,350,350,0,0,0,350,227.5,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
485832,4,1,22080801YXFL,2484022572,2484022561,2022-08-08,2022-08-15,2022-08-01,NA,2022-10-24,"NA",COMPLETE,ACTIVE,MANUAL,122.5,350,350,350,0,0,0,350,226.27,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
432991,4,1,220405079YTN,2275030479,2275030470,2022-04-05,2022-04-05,2022-04-01,NA,2022-06-17,"NA",COMPLETE,ACTIVE,MANUAL,287.56,719.7422,970,716.91,164.64,164.64,178.36,821.6,534.04,"NA",0,0,0,0,0,0,CURRENT,0,253.11,0
478734,4,1,220728063DLA,2466267799,2466267792,2022-07-28,2022-07-28,2022-07-01,NA,2022-10-07,"NA",COMPLETE,ACTIVE,MANUAL,210,600,600,600,0,0,0,600,390,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
441504,4,1,220426047KTX,2309112285,2309112247,2022-04-26,2022-04-26,2022-04-01,NA,2022-07-04,"NA",COMPLETE,ACTIVE,CARD,122.5,353.76944,350,346.94,58.2,17.46,23.28,350,227.5,"NA",0,0,1,0,0,42,31-60,40.74,0,40.74
444199,4,1,22050305KVIN,2319231868,2319231856,2022-05-03,2022-05-03,2022-05-01,NA,2022-07-15,"NA",COMPLETE,ACTIVE,CARD,336,1028.1542,960,960,127.76,0,0,960,624,"NA",1,1,1,0,0,59,31-60,127.76,0,159.7
